      date,value
1994-07-11,3.3956
1994-07-12,3.3960
1994-07-13,3.3960
1994-07-14,3.3980
1994-07-15,3.3975
1994-07-18,3.3985
1994-07-19,3.3980
1994-07-20,3.3975
1994-07-21,3.4000
1994-07-22,3.4010
1994-07-25,3.4020
1994-07-26,3.4025
1994-07-27,3.4000
1994-07-28,3.3925
1994-07-29,3.3925
1994-08-01,3.3940
1994-08-02,3.3900
1994-08-03,3.3750
1994-08-04,3.3730
1994-08-05,3.3720
1994-08-08,3.3825
1994-08-09,3.3830
1994-08-10,3.3850
1994-08-11,3.3950
1994-08-12,3.3955
1994-08-15,3.3990
1994-08-16,3.4035
1994-08-17,3.3960
1994-08-18,3.3770
1994-08-19,3.3730
1994-08-22,3.3100
1994-08-23,3.3300
1994-08-24,3.3420
1994-08-25,3.3500
1994-08-26,3.3670
1994-08-29,3.3700
1994-08-30,3.3750
1994-08-31,3.3880
1994-09-01,3.3840
1994-09-02,3.3680
1994-09-06,3.3970
1994-09-07,3.3940
1994-09-08,3.3930
1994-09-09,3.4050
1994-09-12,3.4070
1994-09-13,3.4170
1994-09-14,3.4100
1994-09-15,3.4000
1994-09-16,3.4000
1994-09-19,3.4040
1994-09-20,3.4050
1994-09-21,3.3980
1994-09-22,3.4030
1994-09-23,3.3980
1994-09-26,3.3780
1994-09-27,3.3820
1994-09-28,3.4120
1994-09-29,3.3980
1994-09-30,3.3930
1994-10-03,3.3930
1994-10-04,3.4030
1994-10-05,3.4100
1994-10-06,3.4120
1994-10-07,3.4160
1994-10-10,3.4140
1994-10-11,3.4110
1994-10-12,3.4110
1994-10-13,3.4110
1994-10-14,3.4140
1994-10-17,3.4165
1994-10-18,3.4180
1994-10-19,3.4125
1994-10-20,3.4130
1994-10-21,3.4140
1994-10-24,3.4140
1994-10-25,3.4230
1994-10-26,3.4260
1994-10-27,3.4260
1994-10-28,3.4295
1994-10-31,3.4330
1994-11-01,3.4370
1994-11-02,3.4370
1994-11-03,3.4365
1994-11-04,3.4265
1994-11-07,3.4240
1994-11-08,3.4220
1994-11-09,3.4240
1994-11-10,3.4395
1994-11-11,3.4400
1994-11-14,3.4420
1994-11-15,3.4490
1994-11-16,3.4500
1994-11-17,3.4505
1994-11-18,3.4500
1994-11-21,3.4525
1994-11-22,3.4440
1994-11-23,3.4470
1994-11-25,3.4460
1994-11-28,3.4480
1994-11-29,3.4390
1994-11-30,3.4390
1994-12-01,3.4390
1994-12-02,3.4370
1994-12-05,3.4370
1994-12-06,3.4375
1994-12-07,3.4440
1994-12-08,3.4460
1994-12-09,3.4460
1994-12-12,3.4480
1994-12-13,3.4540
1994-12-14,3.4540
1994-12-15,3.4600
1994-12-16,3.4600
1994-12-19,3.4645
1994-12-20,3.9370
1994-12-21,3.9810
1994-12-22,4.6800
1994-12-23,4.7500
1994-12-27,5.7000
1994-12-28,5.4900
1994-12-29,4.8200
1994-12-30,4.8850
1995-01-03,5.3450
1995-01-04,5.4500
1995-01-05,5.3000
1995-01-06,5.5000
1995-01-09,5.2300
1995-01-10,5.7725
1995-01-11,5.7000
1995-01-12,5.5850
1995-01-13,5.2650
1995-01-16,5.3775
1995-01-17,5.2400
1995-01-18,5.3025
1995-01-19,5.5625
1995-01-20,5.6675
1995-01-23,5.7150
1995-01-24,5.8000
1995-01-25,5.6850
1995-01-26,5.7075
1995-01-27,5.7000
1995-01-30,6.3000
1995-01-31,5.7625
1995-02-01,5.4425
1995-02-02,5.5000
1995-02-03,5.3900
1995-02-06,5.3325
1995-02-07,5.2925
1995-02-08,5.3150
1995-02-09,5.5175
1995-02-10,5.6300
1995-02-13,5.6775
1995-02-14,5.7325
1995-02-15,5.9550
1995-02-16,6.0875
1995-02-17,6.0125
1995-02-21,5.5975
1995-02-22,5.8525
1995-02-23,5.6750
1995-02-24,5.8625
1995-02-27,5.9775
1995-02-28,6.0350
1995-03-01,5.9600
1995-03-02,6.0200
1995-03-03,6.1175
1995-03-06,6.6300
1995-03-07,6.8405
1995-03-08,6.8875
1995-03-09,7.5100
1995-03-10,6.7300
1995-03-13,6.4750
1995-03-14,6.6250
1995-03-15,7.2050
1995-03-16,7.1200
1995-03-17,6.9425
1995-03-20,6.9800
1995-03-21,6.9800
1995-03-22,6.7500
1995-03-23,6.7490
1995-03-24,6.8980
1995-03-27,6.7000
1995-03-28,6.7950
1995-03-29,6.7775
1995-03-30,6.7200
1995-03-31,6.7750
1995-04-03,6.7575
1995-04-04,6.6650
1995-04-05,6.4475
1995-04-06,6.3675
